item_no,chapter,description,unit,rate
A8.24.4,7.0 STONE WORK,necessary plastic sleeves and galvanised M.S. screws including - 50 mm long,Each,31.6
A8.25.1,7.0 STONE WORK,Providing and Fixing 2nd class teak wood plain lining tongued and and priming coat on unexposed surface. - 40 mm thick,Sqm,3370.7
A8.25.2,7.0 STONE WORK,Providing and Fixing 2nd class teak wood plain lining tongued and and priming coat on unexposed surface. - 25 mm thick,Sqm,2245.8
A8.25.3,7.0 STONE WORK,Providing and Fixing 2nd class teak wood plain lining tongued and and priming coat on unexposed surface. - 20 mm thick,Sqm,1802.3
A8.25.4,7.0 STONE WORK,Providing and Fixing 2nd class teak wood plain lining tongued and and priming coat on unexposed surface. - 12 mm thick,Sqm,1202.4
A8.26.1,7.0 STONE WORK,"lamination Grade-l, Type-ll, IS : 1283 marked, including priming coat on unexposed arrangement and screws etc. complete: - 12 mm thick",Sqm,1456.3
A8.26.2,7.0 STONE WORK,"lamination Grade-l, Type-ll, IS : 1283 marked, including priming coat on unexposed arrangement and screws etc. complete: - 18 mm thick",Sqm,1655.5
A8.26.3,7.0 STONE WORK,"lamination Grade-l, Type-ll, IS : 1283 marked, including priming coat on unexposed arrangement and screws etc. complete: - 25 mm thick",Sqm,2108.3
A8.27.1,7.0 STONE WORK,Kiln seasoned and chemically treated hollock wook,Cum,189.8
A8.28.1,7.0 STONE WORK,Decorative veneer facings of approved manufacture,Sqm,1393.3
A8.29,7.0 STONE WORK,"14842, plain lining with necessary screws, priming coat on",Sqm,1334.0
A8.30.1,7.0 STONE WORK,"screws, including drilling necessary holes for rawl plugs etc and priming coat on unexposed surface complete: - 18 mm thick",Sqm,2221.3
A8.30.2,7.0 STONE WORK,"screws, including drilling necessary holes for rawl plugs etc and priming coat on unexposed surface complete: - 25 mm thick",Sqm,2674.1
A8.31,7.0 STONE WORK,"Engineer-in-Charge, in skirting, risers of steps and dados, over 12",Sqm,1145.5
A8.32,7.0 STONE WORK,The fastening brackets of Aluminium alloy 6005 T5/ MS with Hot,Sqm,5303.2
A9.1.1,9.0 WOOD,"windows and other frames, wrought framed and fixed in position length (hold fast lugs or dash fastener shall be paid for - Second clas Teak wood",Cum,63124.6
A9.1.2,9.0 WOOD,"windows and other frames, wrought framed and fixed in position length (hold fast lugs or dash fastener shall be paid for - Sal wood",Cum,52458.3
A9.1.3,9.0 WOOD,Kiln seasoned and chemically treated Hollock wood,Cum,80172.5
A9.2,9.0 WOOD,in position with hold fast lugs or with dash fasteners of required,Cum,134653.4
A9.3.1,9.0 WOOD,"dia and length (hold fast lugs or dash fastener shall be paid for Providing wood work in frames of false ceiling, partitions etc. - Sal wood",Cum,43749.3
A9.3.2,9.0 WOOD,Kiln seasoned and chemically treated Hollock wood,Cum,72228.7
A9.4.1,9.0 WOOD,"Extra for additional labour for circular works, such as in frames of - Second class Teak wood",Cum,6312.5
A9.4.2,9.0 WOOD,"Extra for additional labour for circular works, such as in frames of - Sal wood",Cum,5112.0
A9.4.3,9.0 WOOD,Kiln seasoned and chemically treated Hollock wood,Cum,8017.5
A9.5.1.1,9.0 WOOD,Engineer-in-Charge. (Note: - Butt hinges and necessary screws shall be paid seperately) - 35mm thick shutters,Sqm,1973.3
A9.5.1.2,9.0 WOOD,Engineer-in-Charge. (Note: - Butt hinges and necessary screws shall be paid seperately) - 30mm thick shutters,Sqm,1832.4
A9.5.2.2,9.0 WOOD,Engineer-in-Charge. (Note: - Butt hinges and necessary screws shall be paid seperately) - 30mm thick shutters,Cum,2293.6
A9.5.3.1,9.0 WOOD,35mm thick shutters,Sqm,1923.5
A9.5.3.2,9.0 WOOD,30mm thick shutters,Sqm,1789.4
A9.6.1,9.0 WOOD,"IS : 3087 marked, bonded with BWP type synthetic resin adhesive",Sqm,3043.9
A9.6.2,9.0 WOOD,FPT - | IS : 3087 marked bonded with BWP type synthetic resin,Sqm,3208.5
A9.6.3,9.0 WOOD,orade _ ron raced Good particle board PT. Ca,Sqm,3521.3
A9.7.1,9.0 WOOD,excluding portion inside grooves or rebate to be measured). Panelling for panelled or pannelled and glazed shutters 25mm to - Second class Teak wood,Sqm,1680.8
A9.7.2,9.0 WOOD,Kiln seasoned and chemically treated hollock wood,Sqm,2154.7
A9.7.3.2,9.0 WOOD,Decorative plywood one side decorative veneer and commercial,Sqm,2567.0
A9.7.4.1,9.0 WOOD,veneer on other face (Type-l) conforming to IS:1328 BWR Type,Sqm,2726.7
A9.7.5.1,9.0 WOOD,Decorative plywood one side decorative veneer and commercial AR7S1 Seamed cent onde Sater mariee SM EBA ISAO Ta aaa7OIt7.9 Ysa eta SST. e.90 tas HESS. - : : ;,Sqm,1405.6
A9.7.5.2,9.0 WOOD,"commercial veneering on both sides conforming to IS: 3097,",Sqm,1828.7
A9.7.5.3,9.0 WOOD,"side and balancing on other side, Grade |, Type Il 1$:12823",Sqm,1908.5
A9.7.5.4,9.0 WOOD,Pre-laminated particle board with decorative lamination on one Pre-laminated particle board with decorative lamination on both - P :,Sqm,1978.3
A9.7.6.1,9.0 WOOD,"Pre-laminated particle board with decorative lamination on both side, Grade I, Type II 1S:12823 marked - 12mm thick",Sqm,2167.9
A9.7.7.1,9.0 WOOD,4mm thick glass pane (weight not less than 10Kg/sqm).,Sqm,1738.3
A9.7.7.2,9.0 WOOD,5.0mm thick glass pane (weight not less than 12.50Kg/sqm).,Sqm,2137.4
A9.7.8,9.0 WOOD,Wire and 1.4mm wide aperture with matching wood beadin,Sqm,1513.6
A9.9.1.1,9.0 WOOD,"clerestory windows using 4mm thick float glass panes, including size with necessary screws. - 35mm thick",Sqm,2567.7
A9.9.1.2,9.0 WOOD,"clerestory windows using 4mm thick float glass panes, including size with necessary screws. - 30mm thick",Sqm,2406.6
A9.9.2.2,9.0 WOOD,size with necessary screws. - 30mm thick,Sqm,2928.8
A9.9.3.1,9.0 WOOD,35mm thick,Sqm,2511.0
A9.9.3.2,9.0 WOOD,30mm thick,Sqm,2357.8
A9.10.1,9.0 WOOD,"necessary screws, all as per directions of Engineer-in-charge (Note:- Butt hinges and necessary screws shall shall be paid - 30 mm thick shutters",Sqm,3043.9
A9.11.1,9.0 WOOD,"ordinary float glass in glazed doors, windows and clerestory portion inside rebate shall be measured) - 5.5mm thick instead of 4mm thick",Sqm,329.0
A9.12,9.0 WOOD,clerestory window shutters. (Area of opening for glass panes,Sqm,263.4
A9.14,9.0 WOOD,of M.S. steel pressed butt hinges bright finished of required size,Sqm,155.6
A9.15.2.1,9.0 WOOD,For 2nd class teak wood and other class of wood shutters,Sqm,67.8
A9.16.1.1,9.0 WOOD,"IS] marked M.S. pressed butt hinges bright finished of required ARI614 ——Simumbutehngesnith rece sctes ""Sam 26140) B57RSO_ Bsn Hang OHS) BOD 807019 TARA HsSaDF.20BRA - os : :",Sqm,2611.1
A9.16.2.1,9.0 WOOD,aluminium butt hinges with necessary screws,Sqm,2300.7
A9.16.2.2,9.0 WOOD,bright finished M.S. piano hinges with necessary screws,Sqm,2348.1
A9.17.2,9.0 WOOD,"density exterior grade (Grade |) or graded wood particle board IS complete (Frames, backing or studding to be paid seperately): - 18 mm thick",Sqm,1031.6
A9.18.1,9.0 WOOD,"shelves with screws and fittings wherever required, edges to be painted with polyurethene primer (fittings to be paid - 18 mm thick",Sqm,1331.0
A9.18.2,9.0 WOOD,painted with polyurethene primer (fittings to be paid - 25 mm thick,Sqm,1806.0
A9.20.3,9.0 WOOD,bright finished M.S. piano hinges IS : 3818 marked with necessary,Sqm,2818.2
A9.21.3,9.0 WOOD,bright finished M.S. piano hinges with necessary screws Stainless,Sqm,1978.5
A9.23,9.0 WOOD,mm minimum depth on all edges of flush door shutters (over all,Sqm,493.9
A9.24.1,9.0 WOOD,‘Extra for providing vision panel not exceeding 0.1 sqm in all type | | | | | | shutter to be measured): - ‘Rectangular or Square,Sqm,214.0
A9.24.2,9.0 WOOD,shutter to be measured): - Circular,Sqm,222.3
A9.27.1.1.1,9.0 WOOD,clerestory windows with hinges and necessary screws : With ISI marked M.S. pressed butt hinges bright finished of - Second class teak wood,Sqm,2659.1
A9.27.1.1.2,9.0 WOOD,Kiln seasoned and chemically treated hollock wood,Sqm,3195.3
A9.27.1.1.3,9.0 WOOD,Kiln seasoned selected class of Sheesham wood,Sqm,2608.9
A9.27.1.2.1,9.0 WOOD,With ISI marked stainless steel butt hinges of required size - Second class teak wood,Sqm,2814.8
A9.27.1.2.2,9.0 WOOD,Kiln seasoned and chemically treated hollock wood,Sqm,3351.0
A9.27.1.2.3,9.0 WOOD,Kiln seasoned selected class of sheesham wood,Sqm,2764.5
A9.27.2.1.1,9.0 WOOD,With ISI marked M.S. pressed butt hinges finished of required size - Second class teak wood.,Sqm,2413.5
A9.27.2.1.2,9.0 WOOD,Kiln seasoned and chemically treated hollock wood,Sqm,2874.7
A9.27.2.1.3,9.0 WOOD,Kiln seasoned selected class of sheesham wood,Sqm,2370.5
A9.27.2.2.1,9.0 WOOD,With ISI marked M.S. pressed butt hinges finished of required size - ‘Second class teak wood,Sqm,2569.2
A9.27.2.2.2,9.0 WOOD,Kiln seasoned and chemically treated hollock wood,Sqm,3030.1
A9.31.1,9.0 WOOD,Engineer-in-Charge: (Note: - Butt hinges and necessary screws shall be paid separately) - 35mm thick shutters,Sqm,3043.9
A9.31.2,9.0 WOOD,Engineer-in-Charge: (Note: - Butt hinges and necessary screws shall be paid separately) - (30mm thick shutters,Sqm,2731.0
A9.40.1.1,9.0 WOOD,50 x 12 mm,Metre,139.1
A9.40.1.2,9.0 WOOD,50 x 20 mm,Metre,159.1
A9.40.2.1,9.0 WOOD,50 x 12 mm,Metre,152.8
A9.40.2.2,9.0 WOOD,50 x 20 mm,Metre,181.9
A9.41.1,9.0 WOOD,Providing and fixing plain jaffri of 35x10 mm laths placed 35 mm beading complete with : - Second class teak wood,Sqm,1546.6
A9.42,9.0 WOOD,plated M.S. pipe 20 mm dia (heavy type) curtain rod with nickle,Metre,549.6
A9.43,9.0 WOOD,with 25x3 mm M.S. Flat 10 cm long fixed to pelmet with hollock,Metre,705.4
A9.44.1,9.0 WOOD,". Grade |, in item of pelmet 18 mm thick 150 mm wide. - \Non decorative veneer on both sides",Metre,40.8
A9.44.2,9.0 WOOD,Particle board with decorative veneering on both sides.,Metre,131.7
A9.45,9.0 WOOD,Providing and fixing teak wood lipping of size 25x3 mm in,Metre,58.2
A9.46.1,9.0 WOOD,wall thickness of 1.25 mm with two chromium plated brass wherever necessary complete : - (12 mm dia,Metre,328.6
A9.46.2,9.0 WOOD,wall thickness of 1.25 mm with two chromium plated brass wherever necessary complete : - 20 mm dia,Metre,452.1
A9.46.3,9.0 WOOD,wall thickness of 1.25 mm with two chromium plated brass wherever necessary complete : - (25 mm dia,Metre,583.8
A9.47.1,9.0 WOOD,Providing and fixing nickel plated M.S. pipe curtain rods with nickel plated brackets : - 20 mm dia (heavy type),Metre,189.0
A9.47.2,9.0 WOOD,Providing and fixing nickel plated M.S. pipe curtain rods with nickel plated brackets : - (25 mm dia (heavy type),Metre,197.2
A9.48.1,9.0 WOOD,Providing and fixing M.S. grills of required pattern in frames of |priming coat with approved steel primer all complete. | | | | | | - Fixed to steel windows by welding,kg,175.7
A9.48.2,9.0 WOOD,Fixed to openings / wooden frames with rawl plugs screws etc.,kg,198.1
A9.49,9.0 WOOD,beading of Ilnd class teak wood and priming coat with approved,Sqm,1049.6
A9.51.1,9.0 WOOD,‘With 2nd Class teak wood beading 62x19 mm,Sqm,933.1
A9.51.2,9.0 WOOD,windows and clerestory windows using wire gauge with average 0.63 mm all complete. - With 12 mm mild steel U beading.,Sqm,842.7
A9.52,9.0 WOOD,and window shutter instead of glass sheet 4 mm thick.,Sqm,214.0
A9.53,9.0 WOOD,embeddings in cement concrete block 30x10x15 cm 1:3:6 mix (1,Each,174.5
A9.54.2,9.0 WOOD,"cement : 3 coarse sand : 6 graded stone aggregate 20 mm Providing beams including hoisting, fixing in position and applying - Hollock wood",Sqm,68280.8
A9.55.1,9.0 WOOD,"Providing beams including hoisting, fixing in position and applying Providing and fixing ISI marked M.S. pressed butt hinges bright - 125x65x2.12 mm",Each,48.8
A9.55.2,9.0 WOOD,Providing and fixing ISI marked M.S. pressed butt hinges bright - 100x58x1.90 mm,Each,37.7
A9.55.3,9.0 WOOD,Providing and fixing ISI marked M.S. pressed butt hinges bright - 75x47x1.70mm,Each,30.3
A9.55.4,9.0 WOOD,Providing and fixing ISI marked M.S. pressed butt hinges bright - 50x37x1.50mm,Each,16.5
A9.56.1,9.0 WOOD,"Providing and fixing ISI marked, IS : 1341, M.S. heavy weight - 125x90x4mm",Each,61.1
A9.56.2,9.0 WOOD,"Providing and fixing ISI marked, IS : 1341, M.S. heavy weight - 100x75x3.50mm",Each,50.9
A9.56.3,9.0 WOOD,"Providing and fixing ISI marked, IS : 1341, M.S. heavy weight - 75x60x3.10mm",Each,36.7
A9.56.4,9.0 WOOD,"Providing and fixing ISI marked, IS : 1341, M.S. heavy weight - 50x40x2.50mm",Each,21.6
A9.57.1,9.0 WOOD,. with necessary screws etc. complete. - 125x65x2.12 mm,Each,48.1
A9.57.2,9.0 WOOD,. with necessary screws etc. complete. - 100x58x1.90 mm,Each,38.8
A9.57.3,9.0 WOOD,. with necessary screws etc. complete. - 75x47x1.70 mm,Each,31.9
A9.57.4,9.0 WOOD,. with necessary screws etc. complete. - 50x37x1.50mm,Each,17.3
A9.58.1,9.0 WOOD,Providing and fixing IS! marked oxidised M.S. pressed - 150x125x27x2.80mm,Each,82.8
A9.58.2,9.0 WOOD,Providing and fixing IS! marked oxidised M.S. pressed - 125x125x27x2.80 mm,Each,78.7
A9.58.3,9.0 WOOD,Providing and fixing IS! marked oxidised M.S. pressed - 100x125x27x2.80 mm,Each,65.9
A9.58.4,9.0 WOOD,Providing and fixing IS! marked oxidised M.S. pressed - 75x100x20x2.24 mm,Each,51.9
A9.59.1,9.0 WOOD,hinges with necessary screws etc. complete : - 150 mm,Each,281.4
A9.59.2,9.0 WOOD,hinges with necessary screws etc. complete : - 125 mm,Each,248.4
A9.59.3,9.0 WOOD,hinges with necessary screws etc. complete : - 100 mm,Each,205.5
A9.60.1,9.0 WOOD,Samson ta try tsa a estonia | _with necessary screws etc. complete. | | | | | | - 150 mm,Each,312.6
A9.60.2,9.0 WOOD,Samson ta try tsa a estonia | _with necessary screws etc. complete. | | | | | | - (125 mm,Each,276.4
A9.60.3,9.0 WOOD,Samson ta try tsa a estonia | _with necessary screws etc. complete. | | | | | | - 100 mm,Each,246.6
A9.61.1,9.0 WOOD,"_with necessary screws etc. complete. | | | | | | ‘nickle plating and fixing with necessary screws etc., complete. | | | | | | - Overall width 35 mm",Metre,254.8
A9.61.2,9.0 WOOD,"‘nickle plating and fixing with necessary screws etc., complete. | | | | | | - Overall width 50 mm",Metre,248.2
A9.61.3,9.0 WOOD,"‘nickle plating and fixing with necessary screws etc., complete. | | | | | | - Overall width 65 mm",Metre,268.0
A9.62.1,9.0 WOOD,"‘nickle plating and fixing with necessary screws etc., complete. | | | | | | with nuts and screws etc. complete : | | | | | | - 300x16 mm",Each,215.6
A9.62.2,9.0 WOOD,with nuts and screws etc. complete : | | | | | | - 200x16 mm,Each,199.2
A9.63.1,9.0 WOOD,with nuts and screws etc. complete : | | | | | | Providing and fixing ISI marked oxidised M.S. tower bolt black | | | | | | - 250x10mm,Each,80.3
A9.63.2,9.0 WOOD,with nuts and screws etc. complete : | | | | | | Providing and fixing ISI marked oxidised M.S. tower bolt black | | | | | | - '200x10 mm,Each,70.5
A9.63.3,9.0 WOOD,Providing and fixing ISI marked oxidised M.S. tower bolt black | | | | | | - 150x10 mm,Each,60.6
A9.63.4,9.0 WOOD,Providing and fixing ISI marked oxidised M.S. tower bolt black | | | | | | - 100x10 mm,Each,44.2
A9.64,9.0 WOOD,"lock conforming to IS : 7534 with necessary screws bolts, nut and",Each,118.8
A9.65.1,9.0 WOOD,Providing and fixing IS!| marked oxidised M.S. door latches hoes Come 0500 wise cmpits - /300x20x6 mm,Each,95.6
A9.65.2,9.0 WOOD,Providing and fixing IS!| marked oxidised M.S. door latches hoes Come 0500 wise cmpits - 250x20x6 mm,Each,79.2
A9.66.1,9.0 WOOD,hoes Come 0500 wise cmpits . to IS:4992 with necessary screws etc. complete : - (125 mm,Each,40.1
A9.66.2,9.0 WOOD,hoes Come 0500 wise cmpits . to IS:4992 with necessary screws etc. complete : - 100 mm,Each,31.9
A9.66.3,9.0 WOOD,. to IS:4992 with necessary screws etc. complete : - 75 mm,Each,26.9
A9.67.1,9.0 WOOD,. to IS:4992 with necessary screws etc. complete : Providing and fixing oxidised M.S. hasp and staple (Safety type) | | | | | | - 150 mm,Each,32.2
A9.67.2,9.0 WOOD,Providing and fixing oxidised M.S. hasp and staple (Safety type) | | | | | | - (115 mm,Each,28.4
A9.67.3,9.0 WOOD,Providing and fixing oxidised M.S. hasp and staple (Safety type) | | | | | | - 90 mm,Each,23.6
A9.68.1,9.0 WOOD,Providing and fixing oxidised M.S. casement stays (straight peg Ang perma are cong - /300 mm weighing not less than 200 gms,Each,68.9
A9.68.2,9.0 WOOD,Providing and fixing oxidised M.S. casement stays (straight peg Ang perma are cong - 250 mm weighing not less than 150 gms,Each,59.8
A9.68.3,9.0 WOOD,Providing and fixing oxidised M.S. casement stays (straight peg Ang perma are cong - '200 mm weighing not less than 120 gms,Each,51.6
A9.70.1,9.0 WOOD,Samson tty tsa est fn sean | Providing and fixing IS : 12817 marked stainless steel butt hinges - 125x64x1.90mm,Each,95.8
A9.70.2,9.0 WOOD,Providing and fixing IS : 12817 marked stainless steel butt hinges - 100x58x1.90 mm,Each,83.7
A9.70.3,9.0 WOOD,75x47x1.80 mm,Each,61.8
A9.70.4,9.0 WOOD,50x37x1.50 mm,Each,36.9
A9.71.1,9.0 WOOD,Providing and fixing ISI : 12817 marked Stainless Steel butt hinges - '125x64x2.50 mm,Each,109.8
A9.71.2,9.0 WOOD,Providing and fixing ISI : 12817 marked Stainless Steel butt hinges - 100x60x2.50 mm,Each,87.0
A9.71.3,9.0 WOOD,75x50x2.50 mm,Each,69.2
A9.72.2,9.0 WOOD,. necessary screws etc. complete : - 125x70x4 mm (ordinary type),Each,182.9
A9.72.3,9.0 WOOD,. necessary screws etc. complete : - 100x85x5.5 mm (heavy type),Each,205.7
A9.72.4,9.0 WOOD,100x70x4 mm (ordinary type),Each,144.4
A9.72.5,9.0 WOOD,75x65x4 mm (heavy type),Each,170.9
A9.72.6,9.0 WOOD,75x40x2.5 mm (ordinary type),Each,95.5
A9.72.7,9.0 WOOD,50x40x2.5mm (ordinary type),Each,39.3
A9.73.1,9.0 WOOD,Providing and fixing bright finished brass parliamentary hinges - (150x125x27x5 mm,Each,473.6
A9.73.2,9.0 WOOD,Providing and fixing bright finished brass parliamentary hinges - 125x125x27x5 mm,Each,422.6
A9.73.3,9.0 WOOD,(100x125x27x5 mm,Each,388.0
A9.73.4,9.0 WOOD,75x100x20x3.2 mm,Each,343.2
A9.74.1,9.0 WOOD,Providing and fixing bright finished brass tower bolts (barrel Aa ype cena sews ete comptes - (250x10 mm,Each,455.5
A9.74.2,9.0 WOOD,Providing and fixing bright finished brass tower bolts (barrel Aa ype cena sews ete comptes - 200x10 mm,Each,365.3
A9.74.3,9.0 WOOD,Aa ype cena sews ete comptes - (150x10 mm,Each,281.3
A9.74.4,9.0 WOOD,100x10 mm,Each,192.8
A9.75.1,9.0 WOOD,Providing and fixing bright finished brass door latch with Aas feemmnaremete nga - /300x16x5 mm,Each,330.6
A9.75.2,9.0 WOOD,Providing and fixing bright finished brass door latch with Aas feemmnaremete nga - 250x16x5 mm,Each,314.2
A9.76,9.0 WOOD,and lock with 6 levers and a pair of lever handles of approved,Each,829.7
A9.77,9.0 WOOD,with one dead bolt and a pair of lever handles of approved,Each,681.6
A9.79.1,9.0 WOOD,Providing and fixing special quality bright finished brass cupboard necessary screws etc. complete. - 40 mm,Each,261.7
A9.79.2,9.0 WOOD,Providing and fixing special quality bright finished brass cupboard necessary screws etc. complete. - 50 mm,Each,311.1
A9.79.3,9.0 WOOD,Providing and fixing special quality bright finished brass cupboard necessary screws etc. complete. - 65 mm,Each,319.4
A9.79.4,9.0 WOOD,Providing and fixing special quality bright finished brass cupboard necessary screws etc. complete. - 75 mm,Each,344.1
A9.81.1,9.0 WOOD,wardrobe knob of approved quality with necessary screws. - 125 mm,Each,249.3
A9.81.2,9.0 WOOD,wardrobe knob of approved quality with necessary screws. - 100 mm,Each,231.2
A9.81.3,9.0 WOOD,wardrobe knob of approved quality with necessary screws. - 75 mm,Each,181.8
A9.82,9.0 WOOD,"stopper with necessary screws, etc. complete.",Each,129.6
A9.83,9.0 WOOD,"embossed on the body,door weight upto 35 Kg and door width —",Each,1202.1
A9.84,9.0 WOOD,": 3564, embossed on the body, door weight upto 36 Kg to 80 Kg",Each,1016.1
A9.85,9.0 WOOD,fastener with necessary screws etc. complete.,Each,90.0
A9.86.1,9.0 WOOD,Providing and fixing bright finished brass casement window Providing and fixing bright finished brass casement stays (straight - 300 mm weighing not less than 330 gms,Each,226.0
A9.86.2,9.0 WOOD,Providing and fixing bright finished brass casement window Providing and fixing bright finished brass casement stays (straight - 250 mm weighing not less than 280 gms,Each,180.6
A9.86.3,9.0 WOOD,Providing and fixing bright finished brass casement window Providing and fixing bright finished brass casement stays (straight - 200 mm weighing not less than 240 gms,Each,172.4
A9.87.1,9.0 WOOD,Providing and fixing bright finished brass hasp and staple (safety AnaT _pemirecnary erect compte - 150 mm,Each,142.5
A9.87.2,9.0 WOOD,Providing and fixing bright finished brass hasp and staple (safety AnaT _pemirecnary erect compte - 115mm,Each,128.7
A9.87.3,9.0 WOOD,Providing and fixing bright finished brass hasp and staple (safety AnaT _pemirecnary erect compte - 90 mm,Each,113.1
A9.88,9.0 WOOD,and lock with 6 levers and a pair of lever handles of approved,Each,945.0
A9.89,9.0 WOOD,Scamse aint try ts a_i a st fn see Ma - er .,Each,994.4
A9.90.1,9.0 WOOD,Providing and fixing special quality chromium plated brass oe | reenter | TT | ||| TT | - ‘Size 40 mm,Each,270.0
A9.90.2,9.0 WOOD,Providing and fixing special quality chromium plated brass oe | reenter | TT | ||| TT | - Size 50 mm,Each,286.4
A9.90.3,9.0 WOOD,Providing and fixing special quality chromium plated brass oe | reenter | TT | ||| TT | - Size 65 mm,Each,327.6
A9.90.4,9.0 WOOD,Providing and fixing special quality chromium plated brass oe | reenter | TT | ||| TT | - Size 75 mm,Each,540.0
A9.91,9.0 WOOD,oe | reenter | TT | ||| TT | Providing and fixing chromium plated brass 50 mm cupboard or | | | | | | - wardrobe knobs with nuts complete.,Each,144.8
A9.92.1,9.0 WOOD,Providing and fixing chromium plated brass 50 mm cupboard or | | | | | | necessary screws etc. Complete: - (125 mm,Each,275.6
A9.92.2,9.0 WOOD,Providing and fixing chromium plated brass 50 mm cupboard or | | | | | | necessary screws etc. Complete: - 100 mm,Each,242.7
A9.92.3,9.0 WOOD,Providing and fixing chromium plated brass 50 mm cupboard or | | | | | | necessary screws etc. Complete: - (75 mm,Each,218.0
A9.94.1,9.0 WOOD,fastener with necessary screws etc. complete. (straight peg type) with necessary screws etc. Complete : | | | | | | - 300 mm weighing not less than 330 gms,Each,251.7
A9.94.2,9.0 WOOD,fastener with necessary screws etc. complete. (straight peg type) with necessary screws etc. Complete : | | | | | | - 250 mm weighing not less than 280 gms,Each,218.8
A9.95.1,9.0 WOOD,transparent or dyed to required colour or shade with necessary 'screws etc. complete: | | | | | | - 125x75x4 mm,Each,160.1
A9.95.2,9.0 WOOD,transparent or dyed to required colour or shade with necessary 'screws etc. complete: | | | | | | - '125x63x4 mm,Each,132.6
A9.95.3,9.0 WOOD,transparent or dyed to required colour or shade with necessary 'screws etc. complete: | | | | | | - 100x75x4 mm,Each,121.4
A9.95.4,9.0 WOOD,transparent or dyed to required colour or shade with necessary 'screws etc. complete: | | | | | | - '100x63x4 mm,Each,110.1
A9.95.5,9.0 WOOD,transparent or dyed to required colour or shade with necessary 'screws etc. complete: | | | | | | - 100x63x3.2 mm,Each,101.2
A9.95.6,9.0 WOOD,'screws etc. complete: | | | | | | - 75x63x4 mm,Each,87.5
A9.95.7,9.0 WOOD,75x63x3.2 mm,Each,79.4
A9.96.1,9.0 WOOD,"1868), transparent or dyed to required colour or shade, with nuts and screws etc. complete : - /300x16 mm",Each,300.7
A9.96.2,9.0 WOOD,"1868), transparent or dyed to required colour or shade, with nuts and screws etc. complete : - 250x16 mm",Each,269.4
A9.97.1,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868 ) screws etc- complete : - 300 x 10 mm,Each,138.8
A9.97.2,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868 ) screws etc- complete : - 250 x 10 mm,Each,122.5
A9.97.3,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868 ) screws etc- complete : - (200 x 10 mm,Each,106.4
A9.97.4,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868 ) screws etc- complete : - 150 x 10 mm,Each,89.2
A9.97.5,9.0 WOOD,screws etc- complete : - 100 x 10 mm,Each,68.4
A9.98,9.0 WOOD,"1868) transparent or dyed to required colour and shade, with",Each,95.8
A9.99,9.0 WOOD,Providing and fixing 50cm long aluminium kicking plate 100x3.15 mm anodised (anodic coating not less than grade AC 10 as per IS : - F :,Each,255.2
A9.100.1,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868 ) screws etc. complete : - (125 mm,Each,70.8
A9.100.2,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868 ) screws etc. complete : - 100 mm,Each,62.7
A9.100.3,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868 ) screws etc. complete : - (75 mm,Each,54.2
A9.101.1,9.0 WOOD,"marked, anodised (anodic coating not less than grade AC 10 as with necessary screws etc. complete. - ‘Single rubber stopper",Each,40.0
A9.101.2,9.0 WOOD,"marked, anodised (anodic coating not less than grade AC 10 as with necessary screws etc. complete. - Twin rubber stopper",Each,74.6
A9.102,9.0 WOOD,1868) transparent or dyed to required colour and shade with,Each,73.9
A9.103,9.0 WOOD,(anodic coating not less than grade AC 10 as per IS : 1868),Each,873.9
A9.104,9.0 WOOD,screws etc. complete. Antoe —_falesandsopeningeietrsscaranros Mave 7458) 160304) ten70 ams) e974 1990 OTD ma0 tt - : :,Metre,171.5
A9.105.1,9.0 WOOD,conforming to IS : 2095 : (part 3) 1996 (Board with BIS,Sqm,1904.9
A9.105.2,9.0 WOOD,tapered edged plain Gypsum plaster board conforming to IS :,Sqm,1830.5
A9.105.3,9.0 WOOD,materials reinforced with cellulose fiber manufactured through,Sqm,1987.3
A9.105.4,9.0 WOOD,Details of cost for 21.9 sqm; (partition Panel),Sqm,1839.1
A9.105.5,9.0 WOOD,multipurpose cement bonded wood particle board manufactured,Sqm,1822.6
A9.106.1,9.0 WOOD,'125x34x24 mm weighing not less than 23 gms,Each,46.7
A9.106.2,9.0 WOOD,150x34x24 mm weighing not less than 26 gms.,Each,46.7
A9.107.1,9.0 WOOD,75x60x10 mm fitted with 5.5 mm dia M.S. Bright Bar Rod,Each,75.4
A9.108.1,9.0 WOOD,152x42x18mm weighing not less than 60 gms,Each,89.9
A9.108.2,9.0 WOOD,202x42x18 mm weighing not less than 78 gms,Each,124.3
A9.109,9.0 WOOD,of 42 mm with suitable washers weighing not less than 33 gms,Each,237.7
A9.111.1,9.0 WOOD,triangular shape to the junction of panelling etc. with iron complete 2nd class teak wood. - /50x50 mm (base and height),Metre,208.8
A9.112,9.0 WOOD,adhesive of approved quality and screws/nails on the edges of —,Each,81.2
A9.113,9.0 WOOD,"door, with necessary screws etc complete as per direction of",Each,747.7
